date,product,sell_price,buy_price,spread_pln
2026-02-15 13:41,"Złoty Dukat Austriacki 3,44 g",2143.0,1998.0,145.0
2026-02-15 13:41,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2583.0,2247.0,336.0
2026-02-15 13:41,Srebrna moneta Kanadyjski Liść Klonu 1 oz,382.47,310.25,72.22
2026-02-15 13:41,Srebrna moneta Wiedeński Filharmonik 1 oz,385.63,310.25,75.38
2026-02-15 13:41,Srebrna moneta Amerykański Orzeł 1 oz,398.27,313.0,85.27
2026-02-15 13:41,Srebrna moneta Australijski Kangur 1 oz,385.63,310.25,75.38
2026-02-15 13:45,"Złoty Dukat Austriacki 3,44 g",2143.0,1998.0,145.0
2026-02-15 13:45,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2583.0,2247.0,336.0
2026-02-15 13:45,Srebrna moneta Kanadyjski Liść Klonu 1 oz,382.47,310.25,72.22
2026-02-15 13:45,Srebrna moneta Wiedeński Filharmonik 1 oz,385.63,310.25,75.38
2026-02-15 13:45,Srebrna moneta Amerykański Orzeł 1 oz,398.27,313.0,85.27
2026-02-15 13:45,Srebrna moneta Australijski Kangur 1 oz,385.63,310.25,75.38
2026-02-15 16:14,"Złoty Dukat Austriacki 3,44 g",2143.0,1998.0,145.0
2026-02-15 16:14,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2583.0,2247.0,336.0
2026-02-15 16:14,Srebrna moneta Kanadyjski Liść Klonu 1 oz,382.47,310.25,72.22
2026-02-15 16:14,Srebrna moneta Wiedeński Filharmonik 1 oz,385.63,310.25,75.38
2026-02-15 16:14,Srebrna moneta Amerykański Orzeł 1 oz,398.27,313.0,85.27
2026-02-15 16:14,Srebrna moneta Australijski Kangur 1 oz,385.63,310.25,75.38
2026-02-16 06:16,"Złoty Dukat Austriacki 3,44 g",2117.0,1974.0,143.0
2026-02-16 06:16,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2553.0,2222.0,331.0
2026-02-16 06:16,Srebrna moneta Kanadyjski Liść Klonu 1 oz,365.86,302.14,63.72
2026-02-16 06:16,Srebrna moneta Wiedeński Filharmonik 1 oz,368.89,302.14,66.75
2026-02-16 06:16,Srebrna moneta Amerykański Orzeł 1 oz,380.98,304.81,76.17
2026-02-16 06:16,Srebrna moneta Australijski Kangur 1 oz,368.89,302.14,66.75
2026-02-16 17:34,"Złoty Dukat Austriacki 3,44 g",2121.0,1978.0,143.0
2026-02-16 17:34,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2556.0,2225.0,331.0
2026-02-16 17:34,Srebrna moneta Kanadyjski Liść Klonu 1 oz,369.75,305.36,64.39
2026-02-16 17:34,Srebrna moneta Wiedeński Filharmonik 1 oz,372.8,305.36,67.44
2026-02-16 17:34,Srebrna moneta Amerykański Orzeł 1 oz,385.02,308.07,76.95
2026-02-16 17:34,Srebrna moneta Australijski Kangur 1 oz,372.8,305.36,67.44
2026-02-16 17:50,"Złoty Dukat Austriacki 3,44 g",2123.0,1980.0,143.0
2026-02-16 17:50,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2559.0,2227.0,332.0
2026-02-16 17:50,Srebrna moneta Kanadyjski Liść Klonu 1 oz,371.7,306.94,64.76
2026-02-16 17:50,Srebrna moneta Wiedeński Filharmonik 1 oz,374.78,306.94,67.84
2026-02-16 17:50,Srebrna moneta Amerykański Orzeł 1 oz,387.06,309.66,77.4
2026-02-16 17:50,Srebrna moneta Australijski Kangur 1 oz,374.78,306.94,67.84
2026-02-16 17:57,"Złoty Dukat Austriacki 3,44 g",2124.0,1981.0,143.0
2026-02-16 17:57,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2560.0,2228.0,332.0
2026-02-16 17:57,Srebrna moneta Kanadyjski Liść Klonu 1 oz,371.7,306.94,64.76
2026-02-16 17:57,Srebrna moneta Wiedeński Filharmonik 1 oz,374.78,306.94,67.84
2026-02-16 17:57,Srebrna moneta Amerykański Orzeł 1 oz,386.6,309.34,77.26
2026-02-16 17:57,Srebrna moneta Australijski Kangur 1 oz,374.3,306.62,67.68
2026-02-16 18:13,"Złoty Dukat Austriacki 3,44 g",2126.0,1982.0,144.0
2026-02-16 18:13,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2562.0,2230.0,332.0
2026-02-16 18:13,Srebrna moneta Kanadyjski Liść Klonu 1 oz,372.4,307.52,64.88
2026-02-16 18:13,Srebrna moneta Wiedeński Filharmonik 1 oz,375.49,307.52,67.97
2026-02-16 18:13,Srebrna moneta Amerykański Orzeł 1 oz,387.79,310.24,77.55
2026-02-16 18:13,Srebrna moneta Australijski Kangur 1 oz,375.49,307.52,67.97
2026-02-17 18:15,"Złoty Dukat Austriacki 3,44 g",2069.0,1924.0,145.0
2026-02-17 18:15,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2494.0,2164.0,330.0
2026-02-17 18:15,Srebrna moneta Kanadyjski Liść Klonu 1 oz,353.48,292.09,61.39
2026-02-17 18:15,Srebrna moneta Wiedeński Filharmonik 1 oz,353.48,292.09,61.39
2026-02-17 18:15,Srebrna moneta Amerykański Orzeł 1 oz,365.08,294.68,70.4
2026-02-17 18:15,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3388.0,3183.0,205.0
2026-02-17 18:15,Złota moneta Wiedeński Filharmonik 1/10 oz,1953.0,1774.0,179.0
2026-02-17 18:15,Złota moneta Amerykański Orzeł 1/10 oz,1987.0,1809.0,178.0
2026-02-17 18:18,"Złoty Dukat Austriacki 3,44 g",2069.0,1924.0,145.0
2026-02-17 18:18,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2494.0,2164.0,330.0
2026-02-17 18:18,Srebrna moneta Kanadyjski Liść Klonu 1 oz,353.48,292.09,61.39
2026-02-17 18:18,Srebrna moneta Wiedeński Filharmonik 1 oz,353.48,292.09,61.39
2026-02-17 18:18,Srebrna moneta Amerykański Orzeł 1 oz,365.08,294.68,70.4
2026-02-17 18:18,Srebrna moneta Australijski Kangur 1 oz,353.48,292.09,61.39
2026-02-17 18:18,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3388.0,3183.0,205.0
2026-02-17 18:18,Złota moneta Wiedeński Filharmonik 1/10 oz,1953.0,1774.0,179.0
2026-02-17 18:18,Złota moneta Amerykański Orzeł 1/10 oz,1987.0,1809.0,178.0
2026-02-17 18:21,"Złoty Dukat Austriacki 3,44 g",2069.0,1924.0,145.0
2026-02-17 18:21,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2494.0,2164.0,330.0
2026-02-17 18:21,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3388.0,3183.0,205.0
2026-02-17 18:21,Złota moneta Wiedeński Filharmonik 1/10 oz,1953.0,1774.0,179.0
2026-02-17 18:21,Złota moneta Amerykański Orzeł 1/10 oz,1987.0,1809.0,178.0
2026-02-17 18:21,Srebrna moneta Kanadyjski Liść Klonu 1 oz,353.48,292.09,61.39
2026-02-17 18:21,Srebrna moneta Wiedeński Filharmonik 1 oz,353.48,292.09,61.39
2026-02-17 18:21,Srebrna moneta Amerykański Orzeł 1 oz,365.08,294.68,70.4
2026-02-17 18:21,Srebrna moneta Australijski Kangur 1 oz,353.48,292.09,61.39
2026-02-17 19:10,"Złoty Dukat Austriacki 3,44 g",2076.0,1930.0,146.0
2026-02-17 19:10,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2502.0,2171.0,331.0
2026-02-17 19:10,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3399.0,3193.0,206.0
2026-02-17 19:10,Złota moneta Wiedeński Filharmonik 1/10 oz,1959.0,1780.0,179.0
2026-02-17 19:10,Złota moneta Amerykański Orzeł 1/10 oz,1994.0,1815.0,179.0
2026-02-17 19:10,Srebrna moneta Kanadyjski Liść Klonu 1 oz,355.1,293.44,61.66
2026-02-17 19:10,Srebrna moneta Wiedeński Filharmonik 1 oz,355.1,293.44,61.66
2026-02-17 19:10,Srebrna moneta Amerykański Orzeł 1 oz,366.74,296.03,70.71
2026-02-17 19:10,Srebrna moneta Australijski Kangur 1 oz,355.1,293.44,61.66
2026-02-17 19:41,"Złoty Dukat Austriacki 3,44 g",2081.0,1934.0,147.0
2026-02-17 19:41,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2508.0,2176.0,332.0
2026-02-17 19:41,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3407.0,3200.0,207.0
2026-02-17 19:41,Złota moneta Wiedeński Filharmonik 1/10 oz,1964.0,1784.0,180.0
2026-02-17 19:41,Złota moneta Amerykański Orzeł 1/10 oz,1998.0,1819.0,179.0
2026-02-17 19:41,Srebrna moneta Kanadyjski Liść Klonu 1 oz,358.03,295.54,62.49
2026-02-17 19:41,Srebrna moneta Wiedeński Filharmonik 1 oz,358.03,295.54,62.49
2026-02-17 19:41,Srebrna moneta Amerykański Orzeł 1 oz,369.77,298.16,71.61
2026-02-17 19:41,Srebrna moneta Australijski Kangur 1 oz,358.03,295.54,62.49
2026-02-17 19:45,"Złoty Dukat Austriacki 3,44 g",2084.0,1938.0,146.0
2026-02-17 19:45,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2512.0,2179.0,333.0
2026-02-17 19:45,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3412.0,3206.0,206.0
2026-02-17 19:45,Złota moneta Wiedeński Filharmonik 1/10 oz,1967.0,1787.0,180.0
2026-02-17 19:45,Złota moneta Amerykański Orzeł 1/10 oz,2002.0,1822.0,180.0
2026-02-17 19:45,Srebrna moneta Kanadyjski Liść Klonu 1 oz,358.77,296.15,62.62
2026-02-17 19:45,Srebrna moneta Wiedeński Filharmonik 1 oz,358.77,296.15,62.62
2026-02-17 19:45,Srebrna moneta Amerykański Orzeł 1 oz,370.53,298.77,71.76
2026-02-17 19:45,Srebrna moneta Australijski Kangur 1 oz,358.77,296.15,62.62
